Area,Sensing Range,Transmission Range,Number of Sensor nodes,Number of Barriers,Feature_New
5000,15,30,100,30,1
5000,16,32,112,35,0
5000,17,34,124,42,0
5000,18,36,136,48,0
5000,19,38,148,56,1
5000,20,40,160,64,0
5000,21,42,172,72,0
5000,22,44,184,80,1
5000,23,46,196,90,0
5000,24,48,208,99,0
5000,25,50,220,110,0
5000,26,52,232,120,0
5000,27,54,244,131,0
5000,28,56,256,143,1
5000,29,58,268,155,1
5000,30,60,280,168,1
5000,31,62,292,181,0
5000,32,64,304,194,0
5000,33,66,316,208,0
5000,34,68,328,223,1
5000,35,70,340,238,0
5000,36,72,352,253,0
5000,37,74,364,269,1
5000,38,76,376,285,0
5000,39,78,388,302,1
5000,40,80,400,320,1
9375,15,30,100,24,1
9375,16,32,112,28,0
9375,17,34,124,33,0
9375,18,36,136,39,0
9375,19,38,148,44,0
9375,20,40,160,51,0
9375,21,42,172,57,0
9375,22,44,184,64,0
9375,23,46,196,72,1
9375,24,48,208,79,0
9375,25,50,220,88,1
9375,26,52,232,96,0
9375,27,54,244,105,0
9375,28,56,256,114,0
9375,29,58,268,124,1
9375,30,60,280,134,1
9375,31,62,292,144,1
9375,32,64,304,155,1
9375,33,66,316,166,0
9375,34,68,328,178,1
9375,35,70,340,190,0
9375,36,72,352,202,0
9375,37,74,364,215,1
9375,38,76,376,228,1
9375,39,78,388,242,1
9375,40,80,400,256,1
15000,15,30,100,20,1
15000,16,32,112,23,1
15000,17,34,124,28,1
15000,18,36,136,32,1
15000,19,38,148,37,0
15000,20,40,160,42,1
15000,21,42,172,48,1
15000,22,44,184,53,0
15000,23,46,196,60,1
15000,24,48,208,66,0
15000,25,50,220,73,0
15000,26,52,232,80,1
15000,27,54,244,87,0
15000,28,56,256,95,0
15000,29,58,268,103,0
15000,30,60,280,112,0
15000,31,62,292,120,1
15000,32,64,304,129,0
15000,33,66,316,139,1
15000,34,68,328,148,0
15000,35,70,340,158,0
15000,36,72,352,168,0
15000,37,74,364,179,0
15000,38,76,376,190,1
15000,39,78,388,201,1
15000,40,80,400,213,0
21875,15,30,100,17,0
21875,16,32,112,20,1
21875,17,34,124,24,0
21875,18,36,136,27,0
21875,19,38,148,32,0
21875,20,40,160,36,1
21875,21,42,172,41,1
21875,22,44,184,46,1
21875,23,46,196,51,0
21875,24,48,208,57,0
21875,25,50,220,62,1
21875,26,52,232,68,1
21875,27,54,244,75,1
21875,28,56,256,81,1
21875,29,58,268,88,0
21875,30,60,280,96,1
21875,31,62,292,103,0
21875,32,64,304,111,1
21875,33,66,316,119,0
21875,34,68,328,127,1
21875,35,70,340,136,1
21875,36,72,352,144,1
21875,37,74,364,153,1
21875,38,76,376,163,0
21875,39,78,388,172,1
21875,40,80,400,182,0
30000,15,30,100,15,0
30000,16,32,112,17,0
30000,17,34,124,21,0
30000,18,36,136,24,1
30000,19,38,148,28,0
30000,20,40,160,32,0
30000,21,42,172,36,0
30000,22,44,184,40,1
30000,23,46,196,45,1
30000,24,48,208,49,1
30000,25,50,220,55,1
30000,26,52,232,60,0
30000,27,54,244,65,0
30000,28,56,256,71,1
30000,29,58,268,77,0
30000,30,60,280,84,0
30000,31,62,292,90,0
30000,32,64,304,97,1
30000,33,66,316,104,1
30000,34,68,328,111,0
30000,35,70,340,119,1
30000,36,72,352,126,1
30000,37,74,364,134,1
30000,38,76,376,142,1
30000,39,78,388,151,1
30000,40,80,400,160,0
39375,15,30,100,13,1
39375,16,32,112,15,0
39375,17,34,124,18,0
39375,18,36,136,21,1
39375,19,38,148,24,0
39375,20,40,160,28,0
39375,21,42,172,32,0
39375,22,44,184,35,1
39375,23,46,196,40,1
39375,24,48,208,44,0
39375,25,50,220,48,1
39375,26,52,232,53,1
39375,27,54,244,58,1
39375,28,56,256,63,1
39375,29,58,268,69,0
39375,30,60,280,74,0
39375,31,62,292,80,1
39375,32,64,304,86,1
39375,33,66,316,92,0
39375,34,68,328,99,0
39375,35,70,340,105,1
39375,36,72,352,112,0
39375,37,74,364,119,1
39375,38,76,376,127,1
39375,39,78,388,134,0
39375,40,80,400,142,0
50000,15,30,100,12,1
50000,16,32,112,12,1
50000,17,34,124,16,0
50000,18,36,136,19,1
50000,19,38,148,22,0
50000,20,40,160,25,1
50000,21,42,172,28,0
50000,22,44,184,32,0
50000,23,46,196,36,0
50000,24,48,208,39,1
50000,25,50,220,44,1
50000,26,52,232,48,0
50000,27,54,244,52,1
50000,28,56,256,57,0
50000,29,58,268,62,0
50000,30,60,280,67,1
50000,31,62,292,72,1
50000,32,64,304,77,0
50000,33,66,316,83,1
50000,34,68,328,89,1
50000,35,70,340,95,0
50000,36,72,352,101,0
50000,37,74,364,107,1
50000,38,76,376,114,0
50000,39,78,388,121,0
50000,40,80,400,128,1
